1,Florida,Michigan,Florida,1,142,2019-08-25 03:00:00,1
2,BYU,Utah,Utah,1,441,2019-08-30 06:15:00,1
3,Memphis,Ole Miss,Memphis,1,455,2019-08-31 20:00:00,1
4,Kentucky,Toledo,Kentucky,1,182,2019-08-31 20:00:00,1
5,Stanford,Northwestern,Stanford,1,701,2019-09-01 00:00:00,1
6,Florida State,Boise State,Boise State,1,99,2019-08-31 20:00:00,1
7,Auburn,Oregon,Auburn,1,56,2019-09-01 03:30:00,1
8,Pittsburgh,Virginia,Virginia,1,342,2019-09-01 03:30:00,1
9,USC,Fresno State,USC,1,463,2019-09-01 06:30:00,1
10,Oklahoma,Houston,Oklahoma,1,300,2019-09-02 03:30:00,1
11,Ohio State,Cincinnati,Ohio State,2,553,2019-09-07 20:00:00,1
12,Maryland,Syracuse,Maryland,2,482,2019-09-07 20:00:00,1
13,Purdue,Vanderbilt,Purdue,2,637,2019-09-07 20:00:00,1
14,Clemson,Texas A&M,Clemson,2,500,2019-09-07 23:30:00,1
15,SMU,North Texas,SMU,2,308,2019-09-08 03:00:00,1
16,Tennessee,BYU,BYU,2,543,2019-09-08 03:00:00,1
17,Texas,LSU,LSU,2,206,2019-09-08 03:30:00,1
18,Auburn,Tulane,Auburn,2,409,2019-09-08 03:30:00,1
19,Washington,California,California,2,366,2019-09-08 06:30:00,1
20,USC,Stanford,USC,2,463,2019-09-08 06:30:00,1
21,Wake Forest,North Carolina,Wake Forest,3,69,2019-09-14 02:00:00,1
22,Mississippi State,Kansas State,Kansas State,3,210,2019-09-14 20:00:00,1
23,West Virginia,NC State,West Virginia,3,531,2019-09-14 20:00:00,1
24,UCF,Stanford,UCF,3,116,2019-09-14 23:30:00,1
25,BYU,USC,BYU,3,441,2019-09-14 23:30:00,1
26,Iowa State,Iowa,Iowa,3,380,2019-09-15 00:00:00,1
27,Washington,Hawai'i,Washington,3,366,2019-09-15 03:30:00,1
28,Purdue,TCU,TCU,3,637,2019-09-15 03:30:00,1
29,Virginia,Florida State,Virginia,3,660,2019-09-15 03:30:00,1
30,Arizona,Texas Tech,Arizona,3,47,2019-09-15 06:30:00,1
31,USC,Utah,USC,4,463,2019-09-21 05:00:00,1
32,Wisconsin,Michigan,Wisconsin,4,143,2019-09-21 20:00:00,1
33,Northwestern,Michigan State,Michigan State,4,642,2019-09-21 20:00:00,1
34,Texas A&M,Auburn,Auburn,4,433,2019-09-21 23:30:00,1
35,BYU,Washington,Washington,4,441,2019-09-21 23:30:00,1
36,North Carolina,Appalachian State,Appalachian State,4,416,2019-09-21 23:30:00,1
37,TCU,SMU,SMU,4,37,2019-09-21 23:30:00,1
38,New Mexico,New Mexico State,New Mexico,4,757,2019-09-22 00:30:00,1
39,Texas,Oklahoma State,Texas,4,206,2019-09-22 03:30:00,1
40,Georgia,Notre Dame,Georgia,4,650,2019-09-22 04:00:00,1
41,Maryland,Penn State,Penn State,5,482,2019-09-28 04:00:00,1
42,Toledo,BYU,Toledo,5,312,2019-09-28 20:00:00,1
43,North Carolina,Clemson,Clemson,5,416,2019-09-28 23:30:00,1
44,Notre Dame,Virginia,Notre Dame,5,546,2019-09-28 23:30:00,1
45,Washington,USC,Washington,5,366,2019-09-28 23:30:00,1
46,Baylor,Iowa State,Baylor,5,493,2019-09-28 23:30:00,1
47,Appalachian State,Coastal Carolina,Appalachian State,5,424,2019-09-28 23:30:00,1
48,Oklahoma State,Kansas State,Oklahoma State,5,106,2019-09-29 03:00:00,1
49,North Texas,Houston,Houston,5,44,2019-09-29 04:00:00,1
50,Utah,Washington State,Utah,5,611,2019-09-29 06:00:00,1
51,Cincinnati,UCF,Cincinnati,6,544,2019-10-05 04:00:00,1
52,Michigan,Iowa,Michigan,6,521,2019-10-05 20:00:00,1
53,Army,Tulane,Tulane,6,92,2019-10-05 20:00:00,1
54,Florida,Auburn,Florida,6,77,2019-10-05 23:30:00,1
55,Kansas State,Baylor,Baylor,6,85,2019-10-05 23:30:00,1
56,Buffalo,Ohio,Ohio,6,752,2019-10-05 23:30:00,1
57,Navy,Air Force,Navy,6,540,2019-10-05 23:30:00,1
58,Louisiana Monroe,Memphis,Memphis,6,474,2019-10-05 23:45:00,1
59,Ohio State,Michigan State,Ohio State,6,553,2019-10-06 03:30:00,1
60,Oregon,California,Oregon,6,60,2019-10-06 04:00:00,1
61,Louisiana,Appalachian State,Appalachian State,7,137,2019-10-10 04:00:00,1
62,Texas,Oklahoma,Oklahoma,7,189,2019-10-12 20:00:00,1
63,Wisconsin,Michigan State,Wisconsin,7,143,2019-10-12 23:30:00,1
64,Houston,Cincinnati,Cincinnati,7,404,2019-10-12 23:30:00,1
65,Southern Mississippi,North Texas,Southern Mississippi,7,527,2019-10-13 03:00:00,1
66,Notre Dame,USC,Notre Dame,7,546,2019-10-13 03:30:00,1
67,Iowa,Penn State,Penn State,7,425,2019-10-13 03:30:00,1
68,LSU,Florida,LSU,7,731,2019-10-13 04:00:00,1
69,Boise State,Hawai'i,Boise State,7,14,2019-10-13 06:15:00,1
70,Washington,Arizona,Arizona,7,47,2019-10-13 07:00:00,1
71,Kansas State,TCU,Kansas State,8,85,2019-10-19 22:30:00,1
72,Washington,Oregon,Oregon,8,366,2019-10-19 23:30:00,1
73,SMU,Temple,SMU,8,308,2019-10-19 23:30:00,1
74,Louisiana Tech,Southern Mississippi,Louisiana Tech,8,395,2019-10-19 23:30:00,1
75,Oklahoma State,Baylor,Baylor,8,106,2019-10-20 00:00:00,1
76,Utah,Arizona State,Utah,8,611,2019-10-20 02:00:00,1
77,Memphis,Tulane,Memphis,8,455,2019-10-20 03:00:00,1
78,Penn State,Michigan,Penn State,8,73,2019-10-20 03:30:00,1
79,USC,Arizona,USC,8,463,2019-10-20 05:30:00,1
80,BYU,Boise State,BYU,8,441,2019-10-20 06:15:00,1
81,Houston,SMU,SMU,9,404,2019-10-25 03:30:00,1
82,Ohio State,Wisconsin,Ohio State,9,553,2019-10-26 20:00:00,1
83,LSU,Auburn,LSU,9,731,2019-10-26 23:30:00,1
84,Iowa State,Oklahoma State,Oklahoma State,9,380,2019-10-26 23:30:00,1
85,UMass,Connecticut,Connecticut,9,781,2019-10-26 23:30:00,1
86,Temple,UCF,UCF,9,457,2019-10-27 03:00:00,1
87,Michigan,Notre Dame,Michigan,9,521,2019-10-27 03:30:00,1
88,Utah,California,Utah,9,611,2019-10-27 06:00:00,1
89,Air Force,Utah State,Air Force,9,258,2019-10-27 06:15:00,1
90,Oregon,Washington State,Oregon,9,60,2019-10-27 06:30:00,1
91,Appalachian State,Georgia Southern,Georgia Southern,10,424,2019-11-01 04:00:00,1
92,Eastern Michigan,Buffalo,Buffalo,10,643,2019-11-02 20:00:00,1
93,Florida,Georgia,Georgia,10,257,2019-11-02 23:30:00,1
94,Florida State,Miami,Miami,10,99,2019-11-02 23:30:00,1
95,Oklahoma State,TCU,Oklahoma State,10,106,2019-11-02 23:30:00,1
96,Washington,Utah,Utah,10,366,2019-11-03 00:00:00,1
97,Memphis,SMU,Memphis,10,455,2019-11-03 03:30:00,1
98,North Carolina,Virginia,Virginia,10,416,2019-11-03 03:30:00,1
99,USC,Oregon,Oregon,10,463,2019-11-03 04:00:00,1
100,Hawai'i,Fresno State,Fresno State,10,22,2019-11-03 08:59:00,1
101,Ohio,Miami,Miami,11,574,2019-11-07 06:00:00,1
102,Minnesota,Penn State,Minnesota,11,722,2019-11-09 22:00:00,1
103,TCU,Baylor,Baylor,11,37,2019-11-09 22:00:00,1
104,Alabama,LSU,LSU,11,123,2019-11-10 01:30:00,1
105,Texas,Kansas State,Texas,11,206,2019-11-10 01:30:00,1
106,Southern Mississippi,UAB,Southern Mississippi,11,527,2019-11-10 01:30:00,1
107,Wisconsin,Iowa,Wisconsin,11,143,2019-11-10 02:00:00,1
108,Florida Atlantic,Florida International,Florida Atlantic,11,265,2019-11-10 04:00:00,1
109,South Carolina,Appalachian State,Appalachian State,11,804,2019-11-10 05:00:00,1
110,Oklahoma,Iowa State,Oklahoma,11,300,2019-11-10 06:00:00,1
111,Penn State,Indiana,Penn State,12,73,2019-11-16 22:00:00,1
112,Michigan,Michigan State,Michigan,12,521,2019-11-16 22:00:00,1
113,Temple,Tulane,Temple,12,457,2019-11-16 22:00:00,1
114,Notre Dame,Navy,Notre Dame,12,546,2019-11-17 00:30:00,1
115,Clemson,Wake Forest,Clemson,12,500,2019-11-17 01:30:00,1
116,Auburn,Georgia,Georgia,12,409,2019-11-17 01:30:00,1
117,Iowa State,Texas,Iowa State,12,380,2019-11-17 01:30:00,1
118,Iowa,Minnesota,Iowa,12,425,2019-11-17 02:00:00,1
119,Baylor,Oklahoma,Oklahoma,12,493,2019-11-17 05:30:00,1
120,Utah,UCLA,Utah,12,611,2019-11-17 06:00:00,1
121,Ohio State,Penn State,Ohio State,13,553,2019-11-23 22:00:00,1
122,Iowa,Illinois,Iowa,13,425,2019-11-23 22:00:00,1
123,Tulane,UCF,UCF,13,78,2019-11-23 22:00:00,1
124,Montana State,Montana,Montana State,13,101,2019-11-24 00:00:00,1
125,Georgia,Texas A&M,Georgia,13,650,2019-11-24 01:30:00,1
126,Baylor,Texas,Baylor,13,493,2019-11-24 01:30:00,1
127,Indiana,Michigan,Michigan,13,500,2019-11-24 01:30:00,1
128,Stanford,California,California,13,701,2019-11-24 02:00:00,1
129,Cincinnati,Temple,Cincinnati,13,544,2019-11-24 05:00:00,1
130,Hawai'i,San Diego State,Hawai'i,13,22,2019-11-24 09:00:00,1
131,Virginia,Virginia Tech,Virginia,14,660,2019-11-29 22:00:00,1
132,Memphis,Cincinnati,Memphis,14,455,2019-11-30 01:30:00,1
133,Michigan,Ohio State,Ohio State,14,521,2019-11-30 22:00:00,1
134,Auburn,Alabama,Auburn,14,409,2019-12-01 01:30:00,1
135,Minnesota,Wisconsin,Wisconsin,14,722,2019-12-01 01:30:00,1
136,Florida Atlantic,Southern Mississippi,Florida Atlantic,14,265,2019-12-01 01:30:00,1
137,Stanford,Notre Dame,Notre Dame,14,701,2019-12-01 02:00:00,1
138,SMU,Tulane,SMU,14,308,2019-12-01 02:00:00,1
139,Kansas State,Iowa State,Kansas State,14,85,2019-12-01 05:00:00,1
140,Oklahoma State,Oklahoma,Oklahoma,14,106,2019-12-01 06:00:00,1
141,Oregon,Utah,Utah,17,635,2020-01-02 03:10:00,1
142,Oklahoma,Baylor,Oklahoma,17,515,2019-12-29 02:20:00,1
143,Appalachian State,Louisiana,Louisiana,17,516,2019-12-22 07:00:00,1
144,Central Michigan,Miami (OH),Central Michigan,17,757,2019-12-22 00:00:00,1
145,Florida Atlantic,UAB,Florida Atlantic,17,265,2019-12-22 01:30:00,1
146,Memphis,Cincinnati,Memphis,17,56,2019-12-28 22:00:00,1
147,LSU,Georgia,LSU,17,515,2019-12-29 02:20:00,1
148,Boise State,Hawai'i,Boise State,17,647,2019-12-22 05:30:00,1
149,Clemson,Virginia,Virginia,17,756,2019-12-29 06:20:00,1
150,Wisconsin,Ohio State,Ohio State,17,635,2020-01-02 03:10:00,1
151,Charlotte,Buffalo,Buffalo,17,729,2019-12-21 00:00:00,1
152,Kansas State,Utah State,Utah State,17,455,2020-01-01 01:45:00,1
153,San Diego State,Central Michigan,San Diego State,17,757,2019-12-22 00:00:00,1
154,Georgia Southern,Liberty,Liberty,17,557,2019-12-22 00:30:00,1
155,Florida Atlantic,SMU,Florida Atlantic,17,265,2019-12-22 01:30:00,1
156,Arkansas State,Florida International,Arkansas State,17,196,2019-12-22 03:30:00,1
157,Washington,Boise State,Washington,17,647,2019-12-22 05:30:00,1
158,UAB,Appalachian State,Appalachian State,17,516,2019-12-22 07:00:00,1
159,Marshall,UCF,UCF,17,599,2019-12-24 00:30:00,1
160,BYU,Hawai'i,Hawai'i,17,22,2019-12-25 06:00:00,1
161,Miami,Louisiana Tech,Louisiana Tech,17,370,2019-12-27 02:00:00,1
162,Eastern Michigan,Pittsburgh,Pittsburgh,17,278,2019-12-27 06:00:00,1
163,Temple,North Carolina,North Carolina,17,540,2019-12-27 22:00:00,1
164,Wake Forest,Michigan State,Michigan State,17,813,2019-12-28 01:20:00,1
165,Texas A&M,Oklahoma State,Texas A&M,17,548,2019-12-28 04:45:00,1
166,Iowa,USC,Iowa,17,589,2019-12-28 06:00:00,1
167,Washington State,Air Force,Air Force,17,167,2019-12-28 08:15:00,1
168,Penn State,Memphis,Penn State,17,56,2019-12-28 22:00:00,1
169,Iowa State,Notre Dame,Notre Dame,17,142,2019-12-28 22:00:00,1
170,LSU,Oklahoma,LSU,17,515,2019-12-29 02:20:00,1
171,Ohio State,Clemson,Clemson,17,756,2019-12-29 06:20:00,1
172,Western Michigan,Western Kentucky,Western Kentucky,17,308,2019-12-30 22:30:00,1
173,Louisville,Mississippi State,Louisville,17,545,2019-12-31 02:00:00,1
174,Illinois,California,California,17,452,2019-12-31 02:00:00,1
175,Virginia,Florida,Florida,17,335,2019-12-31 06:00:00,1
176,Kentucky,Virginia Tech,Kentucky,17,65,2019-12-31 22:00:00,1
177,Arizona State,Florida State,Arizona State,17,715,2020-01-01 00:00:00,1
178,Kansas State,Navy,Navy,17,455,2020-01-01 01:45:00,1
179,Georgia State,Wyoming,Wyoming,17,47,2020-01-01 02:30:00,1
180,Texas,Utah,Texas,17,11,2020-01-01 05:30:00,1
181,Auburn,Minnesota,Minnesota,17,599,2020-01-01 23:00:00,1
182,Alabama,Michigan,Alabama,17,142,2020-01-01 23:00:00,1
183,Wisconsin,Oregon,Oregon,17,635,2020-01-02 03:10:00,1
184,Baylor,Georgia,Georgia,17,516,2020-01-02 06:45:00,1
185,Cincinnati,Boston College,Cincinnati,17,447,2020-01-03 01:00:00,1
186,Texas,Indiana,Texas,17,11,2020-01-01 05:30:00,1
187,Nevada,Ohio,Ohio,17,14,2020-01-04 01:30:00,1
188,Tulane,Southern Mississippi,Tulane,17,37,2020-01-04 21:30:00,1
189,Miami,Louisiana,Louisiana,17,370,2019-12-27 02:00:00,1
190,Ohio State,Northwestern,Ohio State,33,466,2020-12-19 22:00:00,1
191,Iowa State,Oklahoma,Oklahoma,33,56,2020-12-19 22:00:00,1
192,Utah,Washington State,Utah,33,611,2020-12-19 23:30:00,1
193,Army,Air Force,Army,33,92,2020-12-20 01:00:00,1
194,Notre Dame,Clemson,Clemson,33,65,2020-12-20 02:00:00,1
195,Wisconsin,Minnesota,Wisconsin,33,143,2020-12-20 02:00:00,1
196,San José State,Boise State,San José State,33,647,2020-12-20 02:40:00,1
197,Florida,Alabama,Alabama,33,515,2020-12-20 06:00:00,1
198,Cincinnati,Tulsa,Cincinnati,33,544,2020-12-20 06:00:00,1
199,Colorado,Utah,Utah,32,277,2020-12-12 22:00:00,1
200,Miami,North Carolina,North Carolina,32,335,2020-12-13 01:30:00,1
201,Iowa,Wisconsin,Iowa,32,425,2020-12-13 01:30:00,1
202,Memphis,Houston,Memphis,32,455,2020-12-13 01:30:00,1
203,Florida State,Duke,Florida State,32,99,2020-12-13 02:00:00,1
204,UCLA,USC,USC,32,635,2020-12-13 05:30:00,1
205,Virginia Tech,Virginia,Virginia Tech,32,438,2020-12-13 06:00:00,1
206,BYU,San Diego State,BYU,32,441,2020-12-13 08:00:00,1
207,Mississippi State,Auburn,Auburn,32,210,2020-12-13 05:30:00,1
208,Baylor,Oklahoma State,Oklahoma State,32,493,2020-12-13 01:30:00,1
209,TCU,Oklahoma State,TCU,31,37,2020-12-05 22:00:00,1
210,Rutgers,Penn State,Penn State,31,675,2020-12-05 22:00:00,1
211,Tulane,Memphis,Tulane,31,78,2020-12-05 22:00:00,1
212,Missouri,Arkansas,Missouri,31,264,2020-12-05 22:00:00,1
213,Western Michigan,Eastern Michigan,Eastern Michigan,31,773,2020-12-06 00:00:00,1
214,Iowa State,West Virginia,Iowa State,31,380,2020-12-06 01:30:00,1
215,Wisconsin,Indiana,Indiana,31,143,2020-12-06 01:30:00,1
216,Coastal Carolina,BYU,Coastal Carolina,31,118,2020-12-06 03:30:00,1
217,Arizona State,UCLA,UCLA,31,716,2020-12-06 08:30:00,1
218,Utah,Oregon State,Utah,31,611,2020-12-06 08:30:00,1
219,Texas,Iowa State,Iowa State,30,206,2020-11-27 22:00:00,1
220,North Carolina,Notre Dame,Notre Dame,30,416,2020-11-28 01:30:00,1
221,Michigan,Penn State,Penn State,30,521,2020-11-28 22:00:00,1
222,Toledo,Ball State,Ball State,30,312,2020-11-28 22:00:00,1
223,East Carolina,SMU,East Carolina,30,227,2020-11-28 22:00:00,1
224,Alabama,Auburn,Alabama,30,123,2020-11-29 01:30:00,1
225,Ole Miss,Mississippi State,Ole Miss,30,765,2020-11-29 02:00:00,1
226,Purdue,Rutgers,Rutgers,30,637,2020-11-29 02:00:00,1
227,Ohio State,Indiana,Ohio State,29,553,2020-11-21 22:00:00,1
228,Coastal Carolina,Appalachian State,Coastal Carolina,29,118,2020-11-21 22:00:00,1
229,UCF,Cincinnati,Cincinnati,29,116,2020-11-22 01:30:00,1
230,Northwestern,Wisconsin,Northwestern,29,642,2020-11-22 01:30:00,1
231,Nevada,San Diego State,Nevada,29,473,2020-11-22 01:30:00,1
232,Iowa State,Kansas State,Iowa State,29,380,2020-11-22 02:00:00,1
233,Oklahoma,Oklahoma State,Oklahoma,29,300,2020-11-22 05:30:00,1
234,NC State,Liberty,NC State,29,154,2020-11-22 05:30:00,1
235,Rutgers,Michigan,Michigan,29,675,2020-11-22 05:30:00,1
236,Utah,USC,USC,29,611,2020-11-22 08:30:00,1
237,Virginia Tech,Miami,Miami,28,438,2020-11-14 22:00:00,1
238,Nebraska,Penn State,Nebraska,28,500,2020-11-14 22:00:00,1
239,Tulane,Army,Tulane,28,78,2020-11-14 22:00:00,1
240,UT San Antonio,UTEP,UT San Antonio,28,11,2020-11-15 01:00:00,1
241,Virginia,Louisville,Virginia,28,660,2020-11-15 01:30:00,1
242,San Diego State,Hawai'i,San Diego State,28,589,2020-11-15 02:00:00,1
243,Purdue,Northwestern,Northwestern,28,637,2020-11-15 03:00:00,1
244,Florida,Arkansas,Florida,28,77,2020-11-15 05:00:00,1
245,Tulsa,SMU,Tulsa,28,679,2020-11-15 05:00:00,1
246,Michigan,Wisconsin,Wisconsin,28,521,2020-11-15 05:30:00,1
247,Indiana,Michigan,Indiana,27,500,2020-11-07 22:00:00,1
248,USC,Arizona State,USC,27,463,2020-11-07 22:00:00,1
249,Texas,West Virginia,Texas,27,206,2020-11-07 22:00:00,1
250,Northwestern,Nebraska,Northwestern,27,642,2020-11-07 22:00:00,1
251,Georgia,Florida,Florida,27,257,2020-11-08 01:30:00,1
252,Cincinnati,Houston,Cincinnati,27,544,2020-11-08 01:30:00,1
253,Kansas State,Oklahoma State,Oklahoma State,27,85,2020-11-08 02:00:00,1
254,Notre Dame,Clemson,Notre Dame,27,546,2020-11-08 05:30:00,1
255,Arkansas,Tennessee,Arkansas,27,222,2020-11-08 05:30:00,1
256,Oregon State,Washington State,Washington State,27,606,2020-11-08 08:30:00,1
257,Cincinnati,Memphis,Cincinnati,26,544,2020-10-31 20:00:00,1
258,West Virginia,Kansas State,West Virginia,26,531,2020-10-31 20:00:00,1
259,Illinois,Purdue,Purdue,26,500,2020-10-31 20:00:00,1
260,Houston,UCF,UCF,26,404,2020-10-31 22:00:00,1
261,Baylor,TCU,TCU,26,493,2020-10-31 23:30:00,1
262,Auburn,LSU,Auburn,26,409,2020-10-31 23:30:00,1
263,Oklahoma State,Texas,Texas,26,106,2020-11-01 00:00:00,1
264,Air Force,Boise State,Boise State,26,258,2020-11-01 02:00:00,1
265,Penn State,Ohio State,Ohio State,26,73,2020-11-01 03:30:00,1
266,Texas A&M,Arkansas,Texas A&M,26,433,2020-11-01 03:30:00,1
267,North Carolina,NC State,North Carolina,25,416,2020-10-24 20:00:00,1
268,Kansas State,Kansas,Kansas State,25,85,2020-10-24 20:00:00,1
269,Ole Miss,Auburn,Auburn,25,765,2020-10-24 20:00:00,1
270,TCU,Oklahoma,Oklahoma,25,37,2020-10-24 20:00:00,1
271,Louisville,Florida State,Louisville,25,567,2020-10-24 20:00:00,1
272,Michigan State,Rutgers,Rutgers,25,689,2020-10-24 20:00:00,1
273,Oklahoma State,Iowa State,Oklahoma State,25,106,2020-10-24 23:30:00,1
274,Texas,Baylor,Texas,25,206,2020-10-24 23:30:00,1
