1,63,123,63,1,142,NULL,2019-08-24 23:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
2,29,234,234,1,441,NULL,2019-08-30 02:15:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
3,118,165,118,1,455,NULL,2019-08-31 16:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
4,101,222,101,1,182,NULL,2019-08-31 16:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
5,201,157,201,1,701,NULL,2019-08-31 20:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
6,67,21,21,1,99,NULL,2019-08-31 16:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
7,16,166,16,1,56,NULL,2019-08-31 23:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
8,170,243,243,1,342,NULL,2019-08-31 23:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
9,233,69,233,1,463,NULL,2019-09-01 02:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
10,162,82,162,1,300,NULL,2019-09-01 23:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
11,161,39,161,2,553,NULL,2019-09-07 16:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
12,116,208,116,2,482,NULL,2019-09-07 16:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
13,175,241,175,2,637,NULL,2019-09-07 16:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
14,40,216,40,2,500,NULL,2019-09-07 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
15,188,156,188,2,308,NULL,2019-09-07 23:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
16,212,29,29,2,543,NULL,2019-09-07 23:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
17,215,112,112,2,206,NULL,2019-09-07 23:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
18,16,225,16,2,409,NULL,2019-09-07 23:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
19,248,30,30,2,366,NULL,2019-09-08 02:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
20,233,201,233,2,463,NULL,2019-09-08 02:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
21,247,147,247,3,69,NULL,2019-09-13 22:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
22,127,98,98,3,210,NULL,2019-09-14 16:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
23,255,138,255,3,531,NULL,2019-09-14 16:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
24,229,201,229,3,116,NULL,2019-09-14 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
25,29,233,29,3,441,NULL,2019-09-14 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
26,93,92,92,3,380,NULL,2019-09-14 20:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
27,248,80,248,3,366,NULL,2019-09-14 23:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
28,175,210,210,3,637,NULL,2019-09-14 23:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
29,243,67,243,3,660,NULL,2019-09-14 23:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
30,10,220,10,3,47,NULL,2019-09-15 02:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
31,233,234,233,4,463,NULL,2019-09-21 01:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
32,257,123,257,4,143,NULL,2019-09-21 16:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
33,157,124,124,4,642,NULL,2019-09-21 16:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
34,216,16,16,4,433,NULL,2019-09-21 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
35,29,248,248,4,441,NULL,2019-09-21 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
36,147,7,7,4,416,NULL,2019-09-21 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
37,210,188,188,4,37,NULL,2019-09-21 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
38,142,143,142,4,757,NULL,2019-09-21 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
39,215,163,215,4,206,NULL,2019-09-21 23:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
40,73,159,73,4,650,NULL,2019-09-22 00:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
41,116,168,168,5,482,NULL,2019-09-28 00:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
42,222,29,222,5,312,NULL,2019-09-28 16:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
43,147,40,40,5,416,NULL,2019-09-28 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
44,159,243,159,5,546,NULL,2019-09-28 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
45,248,233,248,5,366,NULL,2019-09-28 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
46,19,93,19,5,493,NULL,2019-09-28 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
47,7,41,7,5,424,NULL,2019-09-28 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
48,163,98,163,5,106,NULL,2019-09-28 23:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
49,156,82,82,5,44,NULL,2019-09-29 00:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
50,234,249,234,5,611,NULL,2019-09-29 02:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
51,39,229,39,6,544,NULL,2019-10-05 00:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
52,123,92,123,6,521,NULL,2019-10-05 16:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
53,15,225,225,6,92,NULL,2019-10-05 16:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
54,63,16,63,6,77,NULL,2019-10-05 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
55,98,19,19,6,85,NULL,2019-10-05 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
56,27,160,160,6,752,NULL,2019-10-05 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
57,137,2,137,6,540,NULL,2019-10-05 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
58,109,118,118,6,474,NULL,2019-10-05 19:45:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
59,161,124,161,6,553,NULL,2019-10-05 23:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
60,166,30,166,6,60,NULL,2019-10-06 00:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
61,108,7,7,7,137,NULL,2019-10-10 00:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
62,215,162,162,7,189,NULL,2019-10-12 16:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
63,257,124,257,7,143,NULL,2019-10-12 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
64,82,39,39,7,404,NULL,2019-10-12 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
65,198,156,198,7,527,NULL,2019-10-12 23:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
66,159,233,159,7,546,NULL,2019-10-12 23:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
67,92,168,168,7,425,NULL,2019-10-12 23:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
68,112,63,112,7,731,NULL,2019-10-13 00:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
69,21,80,21,7,14,NULL,2019-10-13 02:15:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
70,248,10,10,7,47,NULL,2019-10-13 03:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
71,98,210,98,8,85,NULL,2019-10-19 18:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
72,248,166,166,8,366,NULL,2019-10-19 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
73,188,211,188,8,308,NULL,2019-10-19 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
74,110,198,110,8,395,NULL,2019-10-19 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
75,163,19,19,8,106,NULL,2019-10-19 20:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
76,234,11,234,8,611,NULL,2019-10-19 22:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
77,118,225,118,8,455,NULL,2019-10-19 23:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
78,168,123,168,8,73,NULL,2019-10-19 23:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
79,233,10,233,8,463,NULL,2019-10-20 01:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
80,29,21,29,8,441,NULL,2019-10-20 02:15:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
81,82,188,188,9,404,NULL,2019-10-24 23:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
82,161,257,161,9,553,NULL,2019-10-26 16:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
83,112,16,112,9,731,NULL,2019-10-26 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
84,93,163,163,9,380,NULL,2019-10-26 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
85,231,46,46,9,781,NULL,2019-10-26 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
86,211,229,229,9,457,NULL,2019-10-26 23:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
87,123,159,123,9,521,NULL,2019-10-26 23:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
88,234,30,234,9,611,NULL,2019-10-27 02:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
89,2,235,2,9,258,NULL,2019-10-27 02:15:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
90,166,249,166,9,60,NULL,2019-10-27 02:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
91,7,74,74,10,424,NULL,2019-11-01 00:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
92,59,27,27,10,643,NULL,2019-11-02 16:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
93,63,73,73,10,257,NULL,2019-11-02 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
94,67,121,121,10,99,NULL,2019-11-02 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
95,163,210,163,10,106,NULL,2019-11-02 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
96,248,234,234,10,366,NULL,2019-11-02 20:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
97,118,188,118,10,455,NULL,2019-11-02 23:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
98,147,243,243,10,416,NULL,2019-11-02 23:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
99,233,166,166,10,463,NULL,2019-11-03 00:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
100,80,69,69,10,22,NULL,2019-11-03 03:59:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
101,160,121,121,11,574,NULL,2019-11-07 01:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
102,126,168,126,11,722,NULL,2019-11-09 17:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
103,210,19,19,11,37,NULL,2019-11-09 17:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
104,4,112,112,11,123,NULL,2019-11-09 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
105,215,98,215,11,206,NULL,2019-11-09 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
106,198,227,198,11,527,NULL,2019-11-09 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
107,257,92,257,11,143,NULL,2019-11-09 21:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
108,65,66,65,11,265,NULL,2019-11-09 23:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
109,190,7,7,11,804,NULL,2019-11-10 00:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
110,162,93,162,11,300,NULL,2019-11-10 01:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
111,168,90,168,12,73,NULL,2019-11-16 17:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
112,123,124,123,12,521,NULL,2019-11-16 17:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
113,211,225,211,12,457,NULL,2019-11-16 17:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
114,159,137,159,12,546,NULL,2019-11-16 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
115,40,247,40,12,500,NULL,2019-11-16 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
116,16,73,73,12,409,NULL,2019-11-16 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
117,93,215,93,12,380,NULL,2019-11-16 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
118,92,126,92,12,425,NULL,2019-11-16 21:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
119,19,162,162,12,493,NULL,2019-11-17 00:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
120,234,230,234,12,611,NULL,2019-11-17 01:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
121,161,168,161,13,553,NULL,2019-11-23 17:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
122,92,87,92,13,425,NULL,2019-11-23 17:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
123,225,229,229,13,78,NULL,2019-11-23 17:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
124,133,132,133,13,101,NULL,2019-11-23 19:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
125,73,216,73,13,650,NULL,2019-11-23 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
126,19,215,19,13,493,NULL,2019-11-23 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
127,90,123,123,13,500,NULL,2019-11-23 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
128,201,30,30,13,701,NULL,2019-11-23 21:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
129,39,211,39,13,544,NULL,2019-11-24 00:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
130,80,186,80,13,22,NULL,2019-11-24 04:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
131,243,244,243,14,660,NULL,2019-11-29 17:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
132,118,39,118,14,455,NULL,2019-11-29 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
133,123,161,161,14,521,NULL,2019-11-30 17:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
134,16,4,16,14,409,NULL,2019-11-30 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
135,126,257,257,14,722,NULL,2019-11-30 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
136,65,198,65,14,265,NULL,2019-11-30 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
137,201,159,159,14,701,NULL,2019-11-30 21:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
138,188,225,188,14,308,NULL,2019-11-30 21:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
139,98,93,98,14,85,NULL,2019-12-01 00:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
140,163,162,162,14,106,NULL,2019-12-01 01:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
141,166,234,234,17,635,NULL,2020-01-01 22:10:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
142,162,19,162,17,515,NULL,2019-12-28 21:20:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
143,7,108,108,17,516,NULL,2019-12-22 02:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
144,35,122,35,17,757,NULL,2019-12-21 19:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
145,65,227,65,17,265,NULL,2019-12-21 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
146,118,39,118,17,56,NULL,2019-12-28 17:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
147,112,73,112,17,515,NULL,2019-12-28 21:20:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
148,21,80,21,17,647,NULL,2019-12-22 00:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
149,40,243,243,17,756,NULL,2019-12-29 01:20:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
150,257,161,161,17,635,NULL,2020-01-01 22:10:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
151,37,27,27,17,729,NULL,2019-12-20 19:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
152,98,235,235,17,455,NULL,2019-12-31 20:45:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
153,186,35,186,17,757,NULL,2019-12-21 19:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
154,74,105,105,17,557,NULL,2019-12-21 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
155,65,188,65,17,265,NULL,2019-12-21 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
156,14,66,14,17,196,NULL,2019-12-21 22:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
157,248,21,248,17,647,NULL,2019-12-22 00:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
158,227,7,7,17,516,NULL,2019-12-22 02:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
159,115,229,229,17,599,NULL,2019-12-23 19:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
160,29,80,80,17,22,NULL,2019-12-25 01:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
161,121,110,110,17,370,NULL,2019-12-26 21:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
162,59,170,170,17,278,NULL,2019-12-27 01:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
163,211,147,147,17,540,NULL,2019-12-27 17:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
164,247,124,124,17,813,NULL,2019-12-27 20:20:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
165,216,163,216,17,548,NULL,2019-12-27 23:45:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
166,92,233,92,17,589,NULL,2019-12-28 01:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
167,249,2,2,17,167,NULL,2019-12-28 03:15:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
168,168,118,168,17,56,NULL,2019-12-28 17:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
169,93,159,159,17,142,NULL,2019-12-28 17:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
170,112,162,112,17,515,NULL,2019-12-28 21:20:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
171,161,40,40,17,756,NULL,2019-12-29 01:20:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
172,254,253,253,17,308,NULL,2019-12-30 17:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
173,111,127,111,17,545,NULL,2019-12-30 21:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
174,87,30,30,17,452,NULL,2019-12-30 21:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
175,243,63,63,17,335,NULL,2019-12-31 01:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
176,101,244,101,17,65,NULL,2019-12-31 17:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
177,11,67,11,17,715,NULL,2019-12-31 19:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
178,98,137,137,17,455,NULL,2019-12-31 20:45:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
179,75,259,259,17,47,NULL,2019-12-31 21:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
180,215,234,215,17,11,NULL,2020-01-01 00:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
181,16,126,126,17,599,NULL,2020-01-01 18:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
182,4,123,4,17,142,NULL,2020-01-01 18:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
183,257,166,166,17,635,NULL,2020-01-01 22:10:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
184,19,73,73,17,516,NULL,2020-01-02 01:45:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
185,39,22,39,17,447,NULL,2020-01-02 20:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
186,215,90,215,17,11,NULL,2020-01-01 00:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
187,140,160,160,17,14,NULL,2020-01-03 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
188,225,198,225,17,37,NULL,2020-01-04 16:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
189,121,108,108,17,370,NULL,2019-12-26 21:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
190,161,157,161,33,466,NULL,2020-12-19 17:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
191,93,162,162,33,56,NULL,2020-12-19 17:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
192,234,249,234,33,611,NULL,2020-12-19 18:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
193,15,2,15,33,92,NULL,2020-12-19 20:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
194,159,40,40,33,65,NULL,2020-12-19 21:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
195,257,126,257,33,143,NULL,2020-12-19 21:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
196,187,21,187,33,647,NULL,2020-12-19 21:40:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
197,63,4,4,33,515,NULL,2020-12-20 01:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
198,39,226,39,33,544,NULL,2020-12-20 01:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
199,43,234,234,32,277,NULL,2020-12-12 17:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
200,121,147,147,32,335,NULL,2020-12-12 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
201,92,257,92,32,425,NULL,2020-12-12 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
202,118,82,118,32,455,NULL,2020-12-12 20:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
203,67,54,67,32,99,NULL,2020-12-12 21:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
204,230,233,233,32,635,NULL,2020-12-13 00:30:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
205,244,243,244,32,438,NULL,2020-12-13 01:00:00,1,2024-04-23 02:01:42,2024-04-23 02:01:42
